Time,Soil(%),Temp(C),Humidity(%),Motor,Rain,PIR
0:14:28,39,30.6,86,Off,No,Found
0:14:29,39,30.6,86.1,Off,No,Found
0:14:30,39,30.6,86.5,Off,No,Found
0:14:31,39,30.6,86.3,Off,No,Found
0:14:32,39,30.6,86.5,Off,No,Found
0:14:33,39,30.6,86.4,Off,No,Found
0:14:34,39,30.5,86.6,Off,No,Found
0:14:35,38,30.6,86.8,Off,No,Found
0:14:36,39,30.5,86.5,Off,No,Found
0:14:37,39,30.5,86.8,Off,No,Found
0:14:38,39,30.5,86.8,Off,No,Found
0:14:39,39,30.5,86.8,Off,No,Found
0:14:40,39,30.5,86.8,Off,No,Found
0:14:41,39,30.5,87,Off,No,Found
0:14:42,38,30.6,87,Off,No,Found
0:14:43,39,30.5,86.7,Off,No,Found
0:14:44,39,30.5,86.8,Off,No,Found
0:14:45,39,30.5,86.5,Off,No,Found
0:14:46,39,30.5,86.7,Off,No,Found
0:14:47,39,30.5,86.6,Off,No,Found
0:14:48,39,30.5,86.9,Off,No,Found
0:14:49,39,30.5,87.1,Off,No,Found
0:14:50,39,30.5,87.1,Off,No,Found
0:14:51,39,30.5,87.2,Off,No,Found
0:14:52,39,30.5,87.4,Off,No,Found
0:14:53,39,30.5,87.4,Off,No,Found
0:14:54,39,30.5,87.3,Off,No,Found
0:14:55,39,30.5,87.5,Off,No,Found
0:14:56,39,30.5,87.4,Off,No,Found
0:14:57,39,30.5,87.5,Off,No,Found
0:14:58,39,30.5,87.6,Off,No,Found
0:14:59,38,30.5,87.5,Off,No,Found
0:15:00,39,30.5,87.2,Off,No,Found
0:15:01,39,30.5,87.1,Off,No,Found
0:15:02,39,30.5,86.9,Off,No,Found
0:15:03,39,30.5,87,Off,No,Found
0:15:04,39,30.5,87.2,Off,No,Found
0:15:05,38,30.5,87.4,Off,No,Found
0:15:06,39,30.5,87.5,Off,No,Found
0:15:07,39,30.5,87.4,Off,No,Found
0:15:08,39,30.5,87.1,Off,No,Found
0:15:09,39,30.5,87,Off,No,Found
0:15:10,39,30.5,87,Off,No,Found
0:15:11,38,30.5,87.1,Off,No,Found
0:15:12,39,30.5,87.2,Off,No,Found
0:15:13,39,30.5,87,Off,No,Found
0:15:14,39,30.5,87.2,Off,No,Found
0:15:15,39,30.5,87.1,Off,No,Found
0:15:16,39,30.5,87.1,Off,No,Found
0:15:17,39,30.5,87.1,Off,No,Found
0:15:18,39,30.5,87,Off,No,Found
0:15:19,39,30.5,87.1,Off,No,Found
0:15:20,39,30.5,87.1,Off,No,Found
0:15:21,39,30.5,87.4,Off,No,Found
0:15:22,38,30.5,87.5,Off,No,Found
0:15:23,39,30.5,87.2,Off,No,Found
0:15:24,38,30.5,87.4,Off,No,Found
0:15:25,38,30.5,87.3,Off,No,Found
0:15:26,38,30.5,87.2,Off,No,Found
0:15:27,38,30.5,87.3,Off,No,Found
0:15:28,38,30.5,87.2,Off,No,Found
0:15:29,38,30.5,87.4,Off,No,Found
0:15:30,38,30.5,87.4,Off,No,Found
0:15:31,38,30.5,87.2,Off,No,Found
0:15:32,38,30.5,87.3,Off,No,Found
0:15:33,38,30.5,86.9,Off,No,Found
0:15:34,38,30.5,86.9,Off,No,Found
0:15:35,39,30.5,87.1,Off,No,Found
0:15:36,39,30.5,87.1,Off,No,Found
0:15:37,38,30.5,87.2,Off,No,Found
0:15:38,38,30.5,87,Off,No,Found
0:15:39,39,30.5,86.9,Off,No,Found
0:15:40,38,30.5,86.9,Off,No,Found
0:15:41,38,30.5,87.1,Off,No,Found
0:15:42,38,30.5,87.1,Off,No,Found
0:15:43,38,30.5,87.2,Off,No,Found
0:15:44,38,30.4,87.4,Off,No,Found
0:15:45,38,30.4,87.4,Off,No,Found
0:15:46,38,30.4,87.7,Off,No,Found
0:15:47,38,30.4,87.8,Off,No,Found
0:15:48,38,30.4,87.7,Off,No,Found
0:15:49,38,30.5,87.7,Off,No,Found
0:15:50,38,30.4,87.7,Off,No,Found
0:15:51,38,30.5,87.7,Off,No,Found
0:15:52,38,30.5,87.6,Off,No,Found
0:15:53,38,30.5,87.3,Off,No,Found
0:15:54,38,30.5,87.4,Off,No,Found
0:15:55,38,30.5,87.3,Off,No,Found
0:15:56,38,30.5,87.1,Off,No,Found
0:15:57,38,30.5,87.2,Off,No,Found
0:15:58,38,30.5,87,Off,No,Found
0:15:59,38,30.5,86.9,Off,No,Found
0:16:00,38,30.5,86.6,Off,No,None
0:16:01,38,30.5,86.5,Off,No,None
0:16:02,38,30.5,86.3,Off,No,None
0:16:03,38,30.5,86.2,Off,No,None
0:16:04,38,30.5,86.3,Off,No,None
0:16:05,38,30.5,86.6,Off,No,None
0:16:06,38,30.5,86.8,Off,No,None
0:16:07,38,30.5,86.9,Off,No,None
0:16:08,38,30.5,87,Off,No,None
0:16:09,38,30.5,87.1,Off,No,Found
0:16:10,38,30.5,87.1,Off,No,Found
0:16:11,38,30.5,87.2,Off,No,Found
0:16:12,38,30.5,87.2,Off,No,Found
0:16:13,38,30.6,87.1,Off,No,Found
0:16:14,38,30.6,87.2,Off,No,Found
0:16:15,38,30.6,87.2,Off,No,Found
0:16:16,38,30.6,87.3,Off,No,Found
0:16:17,38,30.6,87.3,Off,No,Found
0:16:18,38,30.6,87.4,Off,No,Found
0:16:19,38,30.6,87.3,Off,No,Found
0:16:20,38,30.6,87.3,Off,No,Found
0:16:21,38,30.6,87.4,Off,No,Found
0:16:22,38,30.6,87.4,Off,No,Found
0:16:23,38,30.6,87.2,Off,No,Found
0:16:24,38,30.7,87.2,Off,No,Found
0:16:25,38,30.6,87.2,Off,No,Found
0:16:26,38,30.7,87.2,Off,No,Found
0:16:27,38,30.7,87.2,Off,No,Found
0:16:28,38,30.7,87.2,Off,No,Found
0:16:29,38,30.7,86.8,Off,No,Found
0:16:30,38,30.7,87.2,Off,No,Found
0:16:31,38,30.7,87,Off,No,Found
0:16:32,38,30.7,86.9,Off,No,Found
0:16:33,38,30.7,86.8,Off,No,Found
0:16:34,38,30.7,86.6,Off,No,Found
0:16:35,38,30.7,86.3,Off,No,Found
0:16:36,38,30.7,86.4,Off,No,Found
0:16:37,38,30.8,86.3,Off,No,None
0:16:38,38,30.8,86.3,Off,No,None
0:16:39,38,30.8,86.4,Off,No,None
0:16:40,38,30.8,86.5,Off,No,None
0:16:41,38,30.8,86.6,Off,No,None
0:16:42,38,30.8,86.4,Off,No,None
0:16:43,38,30.8,86.1,Off,No,None
0:16:44,38,30.8,86.3,Off,No,None
0:16:45,38,30.8,86,Off,No,None
0:16:46,38,30.8,85.9,Off,No,None
0:16:47,38,30.8,85.6,Off,No,None
0:16:48,38,30.8,86,Off,No,None
0:16:49,38,30.8,86,Off,No,None
0:16:50,38,30.8,85.9,Off,No,Found
0:16:51,38,30.8,85.9,Off,No,Found
0:16:52,38,30.8,85.9,Off,No,Found
0:16:53,38,30.8,85.9,Off,No,Found
0:16:54,38,30.8,86.1,Off,No,Found
0:16:55,38,30.8,85.9,Off,No,Found
0:16:56,38,30.8,86.1,Off,No,Found
0:16:57,38,30.8,86.1,Off,No,Found
0:16:58,38,30.9,86.1,Off,No,Found
0:16:59,38,30.8,86,Off,No,Found
0:17:00,39,30.9,86.1,Off,No,Found
0:17:01,38,30.9,86.1,Off,No,Found
0:17:02,38,30.9,86.2,Off,No,Found
0:17:03,38,30.9,86.1,Off,No,Found
0:17:04,38,30.9,86.1,Off,No,Found
0:17:05,38,30.9,86.2,Off,No,Found
0:17:06,39,30.9,86,Off,No,Found
0:17:07,39,30.9,85.9,Off,No,Found
0:17:08,39,30.9,85.8,Off,No,Found
0:17:09,39,30.9,85.8,Off,No,Found
0:17:10,39,30.9,85.8,Off,No,Found
0:17:11,39,30.9,85.6,Off,No,Found
0:17:12,39,30.9,85.5,Off,No,Found
0:17:13,39,30.9,85.7,Off,No,Found
0:17:14,39,30.9,85.5,Off,No,Found
0:17:15,39,30.9,85.4,Off,No,Found
0:17:16,38,31,85.2,Off,No,Found
0:17:17,39,31,85.3,Off,No,Found
0:17:18,38,31,85.2,Off,No,Found
0:17:19,38,31,85,Off,No,None
0:17:20,38,31,84.9,Off,No,None
0:17:21,38,31,85,Off,No,None
0:17:22,38,31,85.2,Off,No,None
0:17:23,38,31,85.2,Off,No,None
0:17:24,38,31,85.1,Off,No,None
0:17:25,38,31,85.1,Off,No,None
0:17:26,38,31,85,Off,No,None
0:17:27,38,31,85,Off,No,None
0:17:28,38,31,84.8,Off,No,None
0:17:29,38,31.1,84.9,Off,No,None
0:17:30,38,31,84.7,Off,No,Found
0:17:31,38,31,84.7,Off,No,Found
0:17:32,38,31,84.4,Off,No,Found
0:17:33,38,31,84.5,Off,No,Found
0:17:34,38,31,84.5,Off,No,Found
0:17:35,38,31,84.7,Off,No,Found
0:17:36,38,31.1,84.9,Off,No,Found
0:17:37,38,31,85.1,Off,No,Found
0:17:38,38,31.1,85.2,Off,No,Found
0:17:39,38,31.1,85.2,Off,No,Found
0:17:40,38,31.1,85.1,Off,No,Found
0:17:41,38,31.1,85.1,Off,No,Found
0:17:42,38,31.1,85,Off,No,Found
0:17:43,38,31.1,85,Off,No,Found
0:17:44,38,31.1,84.7,Off,No,Found
0:17:45,38,31.1,84.5,Off,No,Found
0:17:46,38,31.1,84.3,Off,No,Found
0:17:47,38,31.1,84.2,Off,No,Found
0:17:48,38,31.1,84.2,Off,No,Found
0:17:49,38,31.1,84.7,Off,No,Found
0:17:50,38,31.1,84.6,Off,No,Found
0:17:51,38,31.2,84.9,Off,No,Found
0:17:52,38,31.1,84.9,Off,No,Found
0:17:53,38,31.2,85,Off,No,Found
0:17:54,38,31.2,85.1,Off,No,Found
0:17:55,38,31.2,84.9,Off,No,Found
0:17:56,38,31.2,85,Off,No,Found
0:17:57,38,31.2,85,Off,No,Found
0:17:58,38,31.2,84.9,Off,No,Found
0:17:59,38,31.2,84.9,Off,No,Found
0:18:00,38,31.2,84.6,Off,No,Found
0:18:01,38,31.2,84.6,Off,No,None
0:18:02,38,31.2,84.6,Off,No,None
0:18:03,38,31.2,84.6,Off,No,None
0:18:04,38,31.2,84.5,Off,No,None
0:18:05,38,31.2,84.6,Off,No,None
0:18:06,38,31.2,84.5,Off,No,None
0:18:07,38,31.2,84.6,Off,No,Found
0:18:08,38,31.2,84.4,Off,No,Found
0:18:09,38,31.2,84.1,Off,No,Found
0:18:10,38,31.3,84.3,Off,No,Found
0:18:11,38,31.2,84.2,Off,No,Found
0:18:12,38,31.3,84.4,Off,No,Found
